node_id,author,year,title,type,venue_or_publisher,subfield,topic,role_in_dialogue,metadata_status,notes
perez_gondar_2025,Diego Pérez-Gondar,2025,Psalm 22 and Intertextual Dialogism,article,JSOT 50.2,HB/Psalms,Psalm 22; dialogism,Recent intertextual/dialogic reading,web-verified,SAGE JSOT 50.2 2025
creach_2026,Jerome F. D. Creach,2026,The Goodness of Creation and the Embedded Theophany in Psalm 104,article,JBL 145.1,HB/Psalms,Psalm 104; creation,Current Psalm 104 article,web-verified,SBL/JBL 145.1 2026
jones_2025,Jordan Jones,2025,Could the Preacher Have Learned from the Teaching of Khety?,article,JSOT 50.2,HB/Wisdom,Qohelet; Egyptian wisdom,Current Egyptological wisdom comparison,web-verified,SAGE JSOT 50.2 2025
qin_yan_2025,Qian Qin and Fangming Yan,2025,A Sinicized Feminist Reading: Wu Shutian's Translation of Song of Songs,article,JSOT 50.2,Reception/Global,Song of Songs; Chinese feminism,Current global feminist reception article,web-verified,SAGE JSOT 50.2 2025
reimarus_1778,Hermann Samuel Reimarus,1778,Fragments,fragment/publication,Lessing publication,Historical Jesus,Jesus and church distinction,Initiates modern Jesus/church distinction,needs-page-verification,
strauss_1835,David Friedrich Strauss,1835,The Life of Jesus Critically Examined,book,Osiander,Historical Jesus,myth criticism,Mythic interpretation of Gospel narratives,needs-page-verification,
schweitzer_1906,Albert Schweitzer,1906,The Quest of the Historical Jesus,book,Mohr Siebeck,Historical Jesus,quest historiography,Apocalyptic critique of liberal Jesus portraits,needs-page-verification,
bultmann_1921,Rudolf Bultmann,1921,The History of the Synoptic Tradition,book,Vandenhoeck & Ruprecht,Gospels,form criticism,Classic form-critical model for synoptic tradition,needs-page-verification,
kasemann_1954,Ernst Käsemann,1954,The Problem of the Historical Jesus,lecture/article,Essays on New Testament Themes,Historical Jesus,new quest,Reopens quest after Bultmann,needs-page-verification,
sanders_1985,E. P. Sanders,1985,Jesus and Judaism,book,Fortress,Historical Jesus,restoration eschatology,Jewish restoration/Temple action model,needs-page-verification,
crossan_1991,John Dominic Crossan,1991,The Historical Jesus,book,HarperSanFrancisco,Historical Jesus,sapiential/cross-cultural,Jesus as Mediterranean Jewish peasant and sage,needs-page-verification,
meier_1991,John P. Meier,1991,"A Marginal Jew, vol. 1",book,Doubleday,Historical Jesus,criteria; marginal Jew,Large-scale criteria-based reconstruction,needs-page-verification,
wright_1996,N. T. Wright,1996,Jesus and the Victory of God,book,Fortress,Historical Jesus,exile/restoration,Jesus as prophet of Israel's return from exile,needs-page-verification,
allison_2010,Dale C. Allison Jr.,2010,Constructing Jesus,book,Baker Academic,Historical Jesus,memory; apocalyptic,Memory and recurring-pattern approach,needs-page-verification,
keith_ledonne_2012,Chris Keith and Anthony Le Donne,2012,"Jesus, Criteria, and the Demise of Authenticity",edited volume,T&T Clark,Historical Jesus,criteria critique,Programmatic critique of classic criteria,needs-page-verification,
bermejo_2023,Fernando Bermejo-Rubio,2023,They Suffered Under Pontius Pilate,book,Fortress/Lexington?,Historical Jesus,anti-Roman Jesus,Insurrectionist/anti-Roman reconstruction,needs-page-verification,
jshj_special_2025,Robert J. Myles et al.,2025,They Suffered Under Pontius Pilate: Jewish Anti-Roman Resistance and the Crosses at Golgotha,special issue,Journal for the Study of the Historical Jesus 23.2-3,Historical Jesus,anti-Roman Jesus,Special-issue debate over Bermejo-Rubio and insurgent Jesus,web-verified,Brill JSHJ 23.2-3 2025
middleton_2025,Paul Middleton,2025,How Much History Can the Gospels Bear?,article,JSHJ 23.2-3,Historical Jesus,anti-Roman Jesus; method,Responds to Bermejo-Rubio via history/method question,web-verified,Brill JSHJ 23.2-3 2025
worthington_2025,Bruce W. Worthington,2025,There Is No 'They' without a 'He',article,JSHJ 23.2-3,Historical Jesus,anti-Roman Jesus; decolonial method,Review article using decolonial approaches to Bermejo-Rubio,web-verified,Brill JSHJ 23.2-3 2025
crossley_2025,James G. Crossley,2025,"The Past, Present, and Future of an Insurgent Jesus",article,JSHJ 23.2-3,Historical Jesus,insurgent Jesus historiography,Traces history of insurgent/seditious Jesus idea,web-verified,Brill JSHJ 23.2-3 2025
myles_2026,Robert J. Myles,2026,"Soft Clothing, Hard Jesus: Costume and the Rhetoric of Class in Matthew 11:7-19 and Q 7:24-35",article,JBL 145.1,Historical Jesus/Gospels,class; costume; Q,Current class/material-culture Jesus article,web-verified,SBL/JBL 145.1 2026
streeter_1924,B. H. Streeter,1924,The Four Gospels,book,Macmillan,Synoptic Problem,Two-source theory,Classic four-document/two-source theory,needs-page-verification,
farrer_1955,Austin Farrer,1955,On Dispensing with Q,article,in Studies in the Gospels,Synoptic Problem,Farrer hypothesis,Rejects Q; Luke used Matthew,needs-page-verification,
farmer_1964,William R. Farmer,1964,The Synoptic Problem,book,Macmillan,Synoptic Problem,Two-Gospel hypothesis,Modern defense of Griesbach/Two-Gospel,needs-page-verification,
sanders_1969,E. P. Sanders,1969,The Tendencies of the Synoptic Tradition,book,Cambridge University Press,Synoptic Problem,redactional tendencies,Critiques simplistic laws of transmission,needs-page-verification,
goulder_1989,Michael Goulder,1989,Luke: A New Paradigm,book,JSOT Press,Synoptic Problem,Farrer hypothesis,Detailed Farrer/Luke-used-Matthew case,needs-page-verification,
kloppenborg_1987,John S. Kloppenborg,1987,The Formation of Q,book,Fortress,Synoptic Problem/Q,Q stratification,Classic Q stratification model,needs-page-verification,
goodacre_2002,Mark Goodacre,2002,The Case Against Q,book,Trinity Press International,Synoptic Problem,Farrer hypothesis,Major anti-Q Farrer case,needs-page-verification,
tuckett_1996,Christopher M. Tuckett,1996,Q and the History of Early Christianity,book,T&T Clark,Synoptic Problem/Q,Q and early Christianity,Major Q defense,needs-page-verification,
duncanson_2025,B. Duncanson,2025,Q and/or the Farrer Hypothesis?,article,New Testament Studies?,Synoptic Problem,Q/Farrer,Recent synoptic-problem article to harvest,needs-verification,Seed from recent-literature scan
wrede_1901,William Wrede,1901,The Messianic Secret,book,Vandenhoeck & Ruprecht,Gospels/Mark,messianic secret,Classic theory of Markan theological secrecy,needs-page-verification,
kelber_1983,Werner H. Kelber,1983,The Oral and the Written Gospel,book,Fortress,Gospels/Mark,orality; Mark,Orality/writing turn in Mark studies,needs-page-verification,
rhoads_dewey_michie_1982,"David Rhoads, Joanna Dewey, and Donald Michie",1982,Mark as Story,book,Fortress,Gospels/Mark,narrative criticism,Narrative-critical Markan method,needs-page-verification,
myers_1988,Ched Myers,1988,Binding the Strong Man,book,Orbis,Gospels/Mark,political reading,Political/imperial reading of Mark,needs-page-verification,
malbon_1985,Elizabeth Struthers Malbon,1985,ΤΗ ΟΙΚΙΑ ΑΥΤΟΥ: Mark 2.15 in Context,article,New Testament Studies 31,Gospels/Mark,Mark 2.15; house,Classic Mark 2.15 house-referent article,web-verified,Referenced in JSNT 48.3 2026 TOC
may_1993,David M. May,1993,Mark 2.15: The Home of Jesus or Levi?,article,New Testament Studies 39,Gospels/Mark,Mark 2.15; house,Direct response to Malbon on house referent,web-verified,Referenced in JSNT 48.3 2026 TOC
malbon_2026,Elizabeth Struthers Malbon,2026,Mark 2.15 in Even Broader Context: A Reflection,article,JSNT 48.3,Gospels/Mark,Mark 2.15; house,Retrospective in current special issue,web-verified,SAGE JSNT 48.3 2026
may_2026,David M. May,2026,A Retrospective on Mark 2.15,article,JSNT 48.3,Gospels/Mark,Mark 2.15; house,Retrospective in current special issue,web-verified,SAGE JSNT 48.3 2026
alow_2026,Tobias Ålöw,2026,Whose House? Revisiting the Referent of αὐτοῦ in Mark 2.15,article,JSNT 48.3,Gospels/Mark,Mark 2.15; syntax,Current direct revisit of Malbon/May debate,web-verified,SAGE JSNT 48.3 2026
doole_2026,J. Andrew Doole,2026,Revisiting Jesus's House,article,JSNT 48.3,Gospels/Mark,Mark 2.15; Jesus's house,Current contribution to house debate,web-verified,SAGE JSNT 48.3 2026
douglas_2026,Sally Douglas,2026,Home in Time for Dinner,article,JSNT 48.3,Gospels/Mark,meals; gender,Extends house debate to dinner scenes/gender,web-verified,SAGE JSNT 48.3 2026
glaser_2026,Timo Glaser,2026,"The House, the Table, and the Message",article,JSNT 48.3,Gospels/Mark,meals; Jewish mission,Extends Mark meals via ancient Jewish missions,web-verified,SAGE JSNT 48.3 2026
burridge_1992,Richard A. Burridge,1992,What Are the Gospels?,book,Cambridge University Press,Gospels,bios genre,Gospels as Greco-Roman bioi,needs-page-verification,
bauckham_1998,Richard Bauckham,1998,The Gospels for All Christians,edited volume,Eerdmans,Gospels,Gospel audiences,Challenges community-specific Gospel audiences,needs-page-verification,
gregor_blais_2024,Brian Gregor and Andrew Blais,2024,Against Bauckham on Gospel Audiences,article,JSNT,Gospels,Gospel audiences,Recent JSNT article contra Bauckham 2017/1998,web-verified,Mentioned in JSNT 48.3 2026 abstract
wilson_vandeweghe_2026,Aaron Wilson and James van de Weghe,2026,Re-Examining the Statistical Evidence for the Influence of Mark 13 on 2 Thessalonians 2.1-12,article,JSNT 48.3,Pauline/Gospels,Mark 13; 2 Thessalonians,Responds to 2024 article and Bauckham intertextual thesis,web-verified,SAGE JSNT 48.3 2026
delgado_2026,Alfredo Delgado Gómez,2026,In Response to the Image and Inscription of Caesar,article,JSNT 48.3,Gospels/Mark,Caesar; empire,Current rhetorical/empire reading of Mark 12,web-verified,SAGE JSNT 48.3 2026
genter_2026,John Genter,2026,The Messianic Secret in Matthew's Gospel,article,JBL 145.1,Gospels/Matthew,messianic secret,Revisits Wredean motif in Matthew,web-verified,SBL/JBL 145.1 2026
murray_2026,Timothy Murray,2026,The Social Location of Luke and Acts: A Model of Ancient Multilingualism,article,JSNT 48.3,Luke-Acts,multilingualism,Current social-location model,web-verified,SAGE JSNT 48.3 2026
chan_2026,Joshua Chan,2026,Multilingual Speech from Heaven: Reading Acts 2:3 through Ancient Conceptions of Tongues,article,JBL 145.1,Luke-Acts,Acts 2; tongues,Current multilingual/language article,web-verified,SBL/JBL 145.1 2026
kochenash_2024,Michael Kochenash,2024,"The Census, Josephus, and Luke's Narrative Strategy",article,JBL 143.3,Luke-Acts,Luke 2; Josephus,Recent Luke historiography article,web-verified,Project MUSE JBL 143.3 2024
bruehler_2026,Bart B. Bruehler,2026,"Truly Human, Truly Divine: Positive Emotion as a Component of Luke's Christology",article,JSNT 48.3,Luke-Acts,emotion; Christology,Current affect-Christology article,web-verified,SAGE JSNT 48.3 2026
baur_1845,F. C. Baur,1845,Paul the Apostle of Jesus Christ,book,German publication,Pauline Studies,Tübingen school,Paul as key to early Christian conflict,needs-page-verification,
schweitzer_paul_1930,Albert Schweitzer,1930,The Mysticism of Paul the Apostle,book,A&C Black,Pauline Studies,participation; mysticism,Participation/mysticism model,needs-page-verification,
bultmann_theology_1951,Rudolf Bultmann,1951,Theology of the New Testament,book,Scribner,Pauline Studies,existential theology,Existential/dialectical Paul,needs-page-verification,
kasemann_1969_paul,Ernst Käsemann,1969,Justification and Salvation History in the Epistle to the Romans,article,Perspectives on Paul,Pauline Studies,justification; apocalyptic,Reframes justification and salvation history,needs-page-verification,
stendahl_1963,Krister Stendahl,1963,The Apostle Paul and the Introspective Conscience of the West,article,Harvard Theological Review,Pauline Studies,new perspective seed,Critiques Lutheran introspective Paul,needs-page-verification,
sanders_1977_paul,E. P. Sanders,1977,Paul and Palestinian Judaism,book,Fortress,Pauline Studies,covenantal nomism,Launches New Perspective baseline,needs-page-verification,
dunn_1983,James D. G. Dunn,1983,The New Perspective on Paul,lecture/article,BJRL,Pauline Studies,works of law,Names New Perspective; ethnocentric boundary markers,needs-page-verification,
wright_1997_paul,N. T. Wright,1997,What Saint Paul Really Said,book,Eerdmans,Pauline Studies,new perspective; covenant,Popular/theological New Perspective synthesis,needs-page-verification,
hays_1983,Richard B. Hays,1983,Psalm 143 and the Logic of Romans 3,article,JBL,Pauline Studies,pistis Christou; intertextuality,Key early pistis/intertext article,needs-page-verification,
hays_1989,Richard B. Hays,1989,Echoes of Scripture in the Letters of Paul,book,Yale University Press,Pauline Studies,scriptural echoes,Foundational intertextual Paul,needs-page-verification,
martyn_1985,J. Louis Martyn,1985,Apocalyptic Antinomies in Paul's Letter to the Galatians,article,NTS,Pauline Studies,apocalyptic Paul,Major apocalyptic Galatians article,needs-page-verification,
barclay_1987,John M. G. Barclay,1987,Mirror-Reading a Polemical Letter: Galatians as a Test Case,article,JSNT,Pauline Studies,mirror-reading,Methodological guardrails for reconstructing opponents,needs-page-verification,
nanos_1996,Mark D. Nanos,1996,The Mystery of Romans,book,Fortress,Paul within Judaism,Romans; Judaism,Jewish-community reading of Romans,needs-page-verification,
eisenbaum_2009,Pamela Eisenbaum,2009,Paul Was Not a Christian,book,HarperOne,Paul within Judaism,Paul and Judaism,Popular/scholarly Paul-within-Judaism articulation,needs-page-verification,
fredriksen_2017,Paula Fredriksen,2017,Paul: The Pagans' Apostle,book,Yale University Press,Paul within Judaism,gentile mission,Paul as Jewish apostle to nations,needs-page-verification,
barclay_2015,John M. G. Barclay,2015,Paul and the Gift,book,Eerdmans,Pauline Studies,grace/gift,Reworks grace via ancient gift discourse,needs-page-verification,
gaventa_2016,Beverly Roberts Gaventa,2016,When in Romans,book,Baker Academic,Pauline Studies,apocalyptic Romans,Apocalyptic reading of Romans,needs-page-verification,
novenson_2017,Matthew V. Novenson,2017,The Grammar of Messianism,book,Oxford University Press,Pauline Studies,messiah/christology,Messianism and Christ-language,needs-page-verification,
glancy_2002,Jennifer A. Glancy,2002,Slavery in Early Christianity,book,Oxford University Press,Pauline Studies,slavery; body,Slavery/body as early Christian context,needs-page-verification,
last_2025,Richard Last,2025,The Social History of Pauline Christ Groups and the Early Judaism Approach,article,Currents in Biblical Research,Paul within Judaism,social history; early Judaism,Current state-of-question for Paul-within-Judaism,needs-verification,Recent-literature seed
gathercole_2025,Simon Gathercole,2025,When Will the Thessalonians Meet the Lord? Revisiting the Timing of the Parousia,article,Journal for the Study of the New Testament 48.2,Pauline Studies,1 Thessalonians; parousia,Recent parousia/intertext debate,needs-verification,Recent JSNT 48.2 seed
hannah_2025,Darcy Hannah,2025,Three Misconceptions about Paul's Parousia Teaching,article,Journal for the Study of the New Testament 48.2,Pauline Studies,parousia,Recent corrective in parousia discussion,needs-verification,Recent JSNT 48.2 seed
akagi_2026,Kai Akagi,2026,From Eph 3.15 Back to Eph 1.10,article,JSNT 48.3,Pauline/Deutero-Pauline,Ephesians; household,Current sociological-exegetical Ephesians article,web-verified,SAGE JSNT 48.3 2026
bultmann_john_1941,Rudolf Bultmann,1941,The Gospel of John: A Commentary,commentary,Vandenhoeck & Ruprecht,John,source/revelation discourse,Classic source/revelation John model,needs-page-verification,
martyn_john_1968,J. Louis Martyn,1968,History and Theology in the Fourth Gospel,book,Harper & Row,John,Johannine community,Two-level drama and synagogue expulsion,needs-page-verification,
meeks_1972,Wayne A. Meeks,1972,The Man from Heaven in Johannine Sectarianism,article,JBL,John,sectarianism; descent/ascent,Social-sectarian reading of Johannine Christology,needs-page-verification,
brown_john_1979,Raymond E. Brown,1979,The Community of the Beloved Disciple,book,Paulist,John,Johannine community,Historical community reconstruction,needs-page-verification,
reinhartz_1998,Adele Reinhartz,1998,The Word in the World,book,Scholars Press,John,narrative/ethics,Narrative and theological world of John,needs-page-verification,
seglenieks_2025,Meredith J. C. Warren / Mark? Seglenieks,2025,"John, Social Identity, and Gospel Audience",article,JSNT?,John,audience; identity,Recent John audience article seed,needs-verification,Recent-literature seed
collins_revelation_1984,Adela Yarbro Collins,1984,Crisis and Catharsis,book,Westminster,Revelation,crisis; apocalypse,Classic socio-literary reading of Revelation,needs-page-verification,
sfiorenza_1985_revelation,Elisabeth Schüssler Fiorenza,1985,The Book of Revelation: Justice and Judgment,book,Fortress,Revelation,feminist/liberation,Feminist/liberation reading of Revelation,needs-page-verification,
pippin_1992,Tina Pippin,1992,Death and Desire,book,Westminster John Knox,Revelation,postmodern feminist,Feminist/postmodern critique of Revelation,needs-page-verification,
friesen_2001,Steven J. Friesen,2001,Imperial Cults and the Apocalypse of John,book,Oxford University Press,Revelation,imperial cult,Revelation in imperial-cult context,needs-page-verification,
koester_2014,Craig R. Koester,2014,Revelation,commentary,Anchor Yale Bible,Revelation,commentary synthesis,Major recent critical commentary,needs-page-verification,
hidalgo_2016,Jacqueline M. Hidalgo,2016,Revelation in Aztlán,book,Palgrave Macmillan,Revelation,race/coloniality,Chicana/o and coloniality reading,needs-page-verification,
jsnt_rev_intro_2025,Meredith J. C. Warren and Christopher B. Zeichmann,2025,"Gender, Violence, Empire, and Revelation: Introduction",article,JSNT special issue,Revelation,gender; violence; empire,Recent special-issue framing of Revelation debate,needs-verification,Recent JSNT special issue seed
