author,year,title,venue,subfield,topic,why_hot_or_current,source_note
Stuart Lasine,2026,Cain and the book of Jonah,Journal for the Study of the Old Testament 50.3,HB/Narrative,Jonah; Cain; intertextuality,Intertextual narrative reading of Jonah,SAGE JSOT 50.3 2026
Marianne Bjelland Kartzow? / Moen and Bohn,2026,Elisha—predatory prophet? A contemporary analysis of the Elisha episodes with the Shunammite woman,Journal for the Study of the Old Testament 50.3,HB/Prophets,Elisha; sexual violence; ethics,Current ethical/gender analysis of prophetic narrative,SAGE JSOT 50.3 2026
Samantha Scott,2026,Provisioning the Persians: Posing Persia in Ezra 6.8-12,Journal for the Study of the Old Testament 50.3,HB/Postexilic,Ezra; Persian empire,Persian-period imperial-administration reading,SAGE JSOT 50.3 2026
Carol J. Dempsey,2026,Moving beyond Text-Fetishism: Traversing a Multiplicity of Paths to Biblical Interpretation,Catholic Biblical Quarterly 88.1,Methods,hermeneutics; materiality; text-fetishism,Programmatic intervention in interpretive method,CBQ 88.1 2026
Carlos A. Garcia Alayon,2026,Delimiting Creation: The Early Septuagint Witness of Genesis 1,Catholic Biblical Quarterly 88.1,Textual Criticism/LXX,Genesis 1; LXX; delimitation,Recent LXX textual article on Genesis 1,CBQ 88.1 2026
Mary Ann Beavis,2026,Tabitha the disciple: Female agency in Acts,Catholic Biblical Quarterly 88.1,Acts,Tabitha; gender; agency,Current feminist Acts article,CBQ 88.1 2026
Rubin McClain,2026,New Jerusalem and Greco-Roman City Founding,Catholic Biblical Quarterly 88.1,Revelation,New Jerusalem; urbanism,Current material/Greco-Roman context for Revelation,CBQ 88.1 2026
Ehud Ben Zvi,2026,"Open the Gates! Writing, Authoritative Texts, Social Memory, Imagination, Community, and Isaiah 26:1-6",Journal of Biblical Literature 145.1,HB/Prophets,Isaiah; social memory,Current JBL social-memory article,SBL/JBL 145.1 2026
Robert Myles,2026,"Soft Clothing, Hard Jesus: Costume and the Rhetoric of Class in Matthew 11:7-19 and Q 7:24-35",Journal of Biblical Literature 145.1,Historical Jesus/Gospels,class; Q; costume,Current class/material-culture Jesus article,SBL/JBL 145.1 2026
John Genter,2026,The Messianic Secret in Matthew's Gospel,Journal of Biblical Literature 145.1,NT/Gospels,Matthew; messianic secret,Revisits Wredean motif in Matthew,SBL/JBL 145.1 2026
Joshua Chan,2026,Multilingual Speech from Heaven: Reading Acts 2:3 through Ancient Conceptions of Tongues,Journal of Biblical Literature 145.1,Luke-Acts,Acts 2; tongues; multilingualism,Links Acts to ancient conceptions of tongues/language,SBL/JBL 145.1 2026
T. M. Lemos,2025,"We became refuse and rubbish: Violence, filth, and rehumanization after exile",Journal for the Study of the Old Testament 50.2,HB/Exile,violence; filth; exile,Current trauma/embodiment/dehumanization article,SAGE JSOT 50.2 2025
Jacob Deans,2025,Amos amongst the nōqdīm,Journal for the Study of the Old Testament 50.2,HB/Prophets,Amos; social location,Current lexical/social-location Amos article,SAGE JSOT 50.2 2025
Diego Pérez-Gondar,2025,Psalm 22 and intertextual dialogism,Journal for the Study of the Old Testament 50.2,HB/Psalms,Psalm 22; dialogism,Current intertextuality/dialogism article,SAGE JSOT 50.2 2025
Jordan Jones,2025,Could the Preacher have learned from the Teaching of Khety?,Journal for the Study of the Old Testament 50.2,HB/Wisdom,Qohelet; Egyptian wisdom,Current Egyptological-comparative wisdom article,SAGE JSOT 50.2 2025
Qian Qin and Fangming Yan,2025,Sinicized feminist reading: Wu Shutian's translation of Song of Songs,Journal for the Study of the Old Testament 50.2,Reception/Global,Song of Songs; Chinese translation; feminism,Current global/feminist reception article,SAGE JSOT 50.2 2025
Hila Dayfani,2025,The Priestly Stratum in the Book of Genesis: A Materialist Foundation,Journal for the Study of the Old Testament 50.2,HB/Torah,Genesis; Priestly source,Current intervention in Priestly-source debate,SAGE JSOT 50.2 2025
Michael Press,2025,Fake Dead Sea Scrolls: Towards a Full History,Dead Sea Discoveries 32.3,Qumran/Manuscripts,DSS forgeries; provenance,Current full-history treatment of fake DSS fragments,Brill DSD 32.3 2025
A. G. Catalano,2025,Alternative Readings in the Septuagint as 'Snapshots' of Textual Development: The Test-Case of Hos 14:3,Vetus Testamentum 75.4-5,Textual Criticism/LXX,Hosea; LXX; textual development,Recent LXX textual-development article,Brill VT 75.4-5 2025
S. B. Chavel,2025,Race and Ethnicity at Genesis 10 and the Idea of 'Semites',Vetus Testamentum 75.4-5,HB/Torah,Genesis 10; race; ethnicity,Recent race/ethnicity article in Hebrew Bible,Brill VT 75.4-5 2025
B. Rossi,2025,Jeremiah 10:1-16 MT and LXX,Vetus Testamentum 75.4-5,Textual Criticism/HB,Jeremiah MT/LXX,Recent Jeremiah textual/redaction article,Brill VT 75.4-5 2025
M. Segal,2025,From the Jordan to Mt. Ebal and Back,Vetus Testamentum 75.4-5,HB/Torah/Former Prophets,Deut 27; Josh 3-4; Josh 8,Recent law/narrative textual dynamics article,Brill VT 75.4-5 2025
Garrick V. Allen,2025,Studies of Shapes: Subjectivity in Palaeography and Understanding,New Testament Studies 71.2,NT Textual Criticism,palaeography; subjectivity,Current methodological critique of objective palaeographic dating,Cambridge NTS latest issue 2025
Musa W. Dube,2024,"Behold, the Global Translated Bible(s)! Research and Pedagogical Implications",Journal of Biblical Literature 143.1,Global/Reception,translation; pedagogy; global Bible,Current programmatic global-Bible article,Project MUSE JBL 143.1 2024
Sara J. K. VanDyke,2024,Materiality of Scribal Practice in Isaiah 8:1-2,Journal of Biblical Literature 143.1,HB/Prophets,Isaiah; scribal practice,Recent materiality/scribal-practice article,Project MUSE JBL 143.1 2024
Barbara Thiede,2024,Rape Culture and Biblical Studies,Journal of Biblical Literature 143.2,Critical Methods,rape culture; biblical interpretation,Current methodological intervention on sexual violence,Project MUSE JBL 143.2 2024
Anathea Portier-Young,2024,Miriam's Embodied Prophecy,Journal of Biblical Literature 143.2,HB/Torah,Miriam; embodiment; prophecy,Current embodiment/gender/profits article,Project MUSE JBL 143.2 2024
Kimberly Rouse,2024,The Altar on Mount Ebal and the Israelite Settlement,Journal of Biblical Literature 143.2,Archaeology/HB,Mt. Ebal; altar; settlement,Current archaeology/text debate article,Project MUSE JBL 143.2 2024
Suzanna R. Millar,2024,The Division of Animal and Human Labor,Journal of Biblical Literature 143.3,Critical/Ecological,animals; labor; Hebrew Bible,Recent animal-studies/ecology article,Project MUSE JBL 143.3 2024
Hannah Harrington Hughes-Huff,2024,The Dead Sea Scrolls in Popular Media,Journal of Biblical Literature 143.3,Qumran/Reception,DSS; popular media,Current Qumran reception/public scholarship article,Project MUSE JBL 143.3 2024
Sean A. Adams / Kochenash,2024,"The Census, Josephus, and Luke's Narrative Strategy",Journal of Biblical Literature 143.3,Luke-Acts,Luke 2; Josephus; historiography,Recent Luke historiography article,Project MUSE JBL 143.3 2024
