subfield,topic,author_editor,title_or_debate_locus,type,year,venue_or_series,tags,confidence,annotation
Hebrew Bible,Purity and sacrifice,Jacob Milgrom,Leviticus scholarship on purity and sacrifice,commentary/monograph cluster,1970s-2000s,Anchor Bible and articles,Leviticus;purity;sacrifice;priestly,standard,Core priestly scholarship; add article-level records.
Hebrew Bible,Purity and sacrifice,Jonathan Klawans,Impurity and Sin in Ancient Judaism,monograph,2000,Oxford University Press,purity;sin;Second Temple;rabbinics,standard,"Bridges biblical, Second Temple, and rabbinic purity."
Hebrew Bible,Women and social history,Carol Meyers,Discovering Eve,monograph,1988/2013,Oxford University Press,gender;social history;household,standard,Essential for women and household archaeology/social history.
Hebrew Bible,Feminist interpretation,Phyllis Trible,Depatriarchalizing in Biblical Interpretation,article,1973,Journal of the American Academy of Religion,feminist;method;Genesis,standard,Landmark feminist article.
Hebrew Bible,Feminist interpretation,Phyllis Trible,Texts of Terror,monograph,1984,Fortress Press,feminist;violence;gender,standard,Classic feminist reading of narratives of violence.
Hebrew Bible,Poetry,Robert Alter,The Art of Biblical Poetry,monograph,1985,Basic Books,poetry;literary criticism,standard,Classic literary approach to Hebrew poetry.
Hebrew Bible,Narrative,Robert Alter,The Art of Biblical Narrative,monograph,1981,Basic Books,narrative;literary criticism,standard,Classic literary-critical work.
Hebrew Bible,Psalms shape,Gerald H. Wilson,The Editing of the Hebrew Psalter,monograph,1985,SBL Dissertation Series,Psalms;canonical shape;editing,standard,Landmark in Psalter shape study; add related articles.
Hebrew Bible,Apocalyptic genre,John J. Collins,Introduction: Towards the Morphology of a Genre,chapter,1979,Semeia 14,apocalyptic;genre;Daniel;Enoch,standard,Foundational article/chapter for apocalypse genre definition.
Hebrew Bible,Trauma,Kathleen M. O'Connor,Jeremiah and trauma scholarship,monograph/article cluster,various,Multiple venues,Jeremiah;trauma;exile,seed,"Cluster marker for Jeremiah, Lamentations, trauma."
Hebrew Bible,Disability,Saul M. Olyan,Disability in the Hebrew Bible,monograph,2008,Cambridge University Press,disability;body;Hebrew Bible,standard,Core disability studies work.
Hebrew Bible,Disability,Jeremy Schipper,Disability Studies and the Hebrew Bible,monograph,2006,T&T Clark,disability;narrative;Mephibosheth,standard,Core disability studies work.
Hebrew Bible,Ecological interpretation,Norman C. Habel,The Earth Bible project,edited series,2000s,Sheffield Academic / T&T Clark,ecology;Earth Bible;method,standard,Major ecological hermeneutics project.
Hebrew Bible,Postcolonial / Indigenous,Robert Allen Warrior,"Canaanites, Cowboys, and Indians",article,1989,Christianity and Crisis,Indigenous;Joshua;conquest;postcolonial,standard,Landmark Indigenous critique of conquest reception.
Hebrew Bible,Textual criticism,Emanuel Tov,Textual Criticism of the Hebrew Bible,monograph,1992/2012,Fortress / Brill,textual criticism;MT;LXX;DSS,standard,Core reference; add articles on specific books.
Hebrew Bible,Textual criticism,Eugene Ulrich,The Dead Sea Scrolls and the Origins of the Bible,monograph,1999,Eerdmans,DSS;textual plurality;canon,standard,Core Qumran biblical textual history work.
Septuagint,Translation technique,James Barr,The Typology of Literalism in Ancient Biblical Translations,monograph/article,1979,Nachrichten der Akademie der Wissenschaften in Göttingen,LXX;translation;literalism,standard,Classic for literalism and ancient translation.
Septuagint,Translation technique,Anneli Aejmelaeus,On the Trail of the Septuagint Translators,monograph,2007,Peeters,LXX;translation technique;Vorlage,standard,Collected essays central for LXX method.
Septuagint,Interlinear paradigm,Albert Pietersma,A New Paradigm for Addressing Old Questions,chapter/article cluster,various,NETS/LXX venues,LXX;interlinear;translation,seed,Cluster marker for interlinear paradigm and NETS.
Septuagint,Greek Jewish scripture,Benjamin G. Wright,Septuagint and Greek Jewish scripture scholarship,monograph/article cluster,various,Multiple venues,LXX;Hellenistic Judaism;translation,seed,Cluster marker; verify specific articles.
Qumran,Sectarianism,John J. Collins,Beyond the Qumran Community,monograph,2010,Eerdmans,Qumran;sectarianism;Essenes,standard,Important synthesis of sectarian identity.
Qumran,Community Rule,Sarianna Metso,The Textual Development of the Qumran Community Rule,monograph,1997,Brill,1QS;Community Rule;textual development,standard,Core for Community Rule recensions.
Qumran,Sectarian discourse,Carol A. Newsom,The Self as Symbolic Space,monograph,2004,Brill,Qumran;self;discourse;anthropology,standard,Major discourse/rhetoric approach to Qumran identity.
Qumran,Rewritten scripture,Molly M. Zahn,Rethinking Rewritten Scripture,monograph,2011,Brill,rewritten scripture;Qumran;Pentateuch,standard,Major critique and redefinition of rewritten scripture.
Qumran,Scriptural authority,Hindy Najman,Seconding Sinai,monograph,2003,Brill,authority;pseudepigraphy;Second Temple,standard,Important for authority and Mosaic discourse.
Qumran,Halakhah,Lawrence H. Schiffman,The Halakhah at Qumran,monograph,1975,Brill,halakhah;Qumran;law,standard,Classic legal study of Qumran.
Qumran,Archaeology,Jodi Magness,The Archaeology of Qumran and the Dead Sea Scrolls,monograph,2002,Eerdmans,Qumran;archaeology;DSS,standard,Core archaeological synthesis.
Early Judaism,Apocalypticism,Martha Himmelfarb,Tours of Hell,monograph,1983,University of Pennsylvania Press,apocalyptic;afterlife;journeys,standard,Classic for apocalyptic tours and afterlife.
Early Judaism,Apocalypticism,Anathea Portier-Young,Apocalypse Against Empire,monograph,2011,Eerdmans,apocalyptic;empire;resistance,standard,Important for apocalypticism and empire.
Early Judaism,Philo,Maren Niehoff,Philo of Alexandria,monograph,2018,Yale University Press,Philo;Alexandria;Hellenistic Judaism,standard,Recent major biography/contextual study.
Early Judaism,Josephus,Steve Mason,Josephus and the New Testament,monograph,1992/2003,Hendrickson,Josephus;NT;history,standard,Useful orientation; add technical Josephus articles.
Early Judaism,Diaspora,John M. G. Barclay,Jews in the Mediterranean Diaspora,monograph,1996,T&T Clark,diaspora;Hellenistic Judaism,standard,Core diaspora Judaism work.
Early Judaism,Gender,Tal Ilan,Jewish Women in Greco-Roman Palestine,monograph,1995,Mohr Siebeck,women;Jewish history;Greco-Roman,standard,Core gender/social history resource.
Rabbinics,Field introduction,H. L. Strack and Günter Stemberger,Introduction to the Talmud and Midrash,reference,1991/1996,Fortress Press,rabbinics;Talmud;midrash;introduction,standard,Standard field orientation.
Rabbinics,Documentary method,Jacob Neusner,Rabbinic documentary method scholarship,monograph/article cluster,various,Multiple venues,rabbinics;method;documentary;contested,seed,Foundational but contested; mark carefully.
Rabbinics,Bavli formation,David Weiss Halivni,Meqorot u-Mesorot and stammaitic formation scholarship,monograph/article cluster,various,Multiple venues,Bavli;stammaim;redaction,seed,Cluster marker; verify tractate-specific entries.
Rabbinics,Talmudic source criticism,Shamma Friedman,Talmudic source criticism and sugya analysis,article cluster,various,Hebrew and English venues,Bavli;source criticism;sugya,seed,Essential Hebrew/English article cluster.
Rabbinics,Narrative and redaction,Jeffrey L. Rubenstein,Talmudic Stories,monograph,1999,Johns Hopkins University Press,Bavli;narrative;redaction,standard,Core for Bavli narrative and redaction.
Rabbinics,Rabbinic culture,Richard Kalmin,"Sages, Stories, Authors, and Editors in Rabbinic Babylonia",monograph,1994,Scholars Press,Bavli;social history;redaction,standard,Key for rabbinic Babylonia.
Rabbinics,Midrash and intertextuality,Daniel Boyarin,Intertextuality and the Reading of Midrash,monograph,1990,Indiana University Press,midrash;intertextuality;hermeneutics,standard,Major literary-theoretical approach.
Rabbinics,Legal midrash,Steven D. Fraade,From Tradition to Commentary,monograph,1991,SUNY Press,Sifre Deuteronomy;midrash;law,standard,Core legal midrash study.
Rabbinics,Mishnah,Ishay Rosen-Zvi,The Mishnaic Sotah Ritual,monograph,2012,Brill,Mishnah;ritual;gender,standard,Important Mishnah ritual/gender study.
Rabbinics,Law and theology,Christine Hayes,What's Divine about Divine Law?,monograph,2015,Princeton University Press,law;rabbinics;Greek;theology,standard,Major comparative law/theology study.
Rabbinics,Gender and body,Charlotte Elisheva Fonrobert,Menstrual Purity,monograph,2000,Stanford University Press,gender;body;purity;rabbinics,standard,Core for rabbinic gender/body.
Rabbinics,Sacrifice and purity,Mira Balberg,"Purity, Body, and Self in Early Rabbinic Literature",monograph,2014,University of California Press,purity;body;rabbinics,standard,Important for rabbinic purity and subjectivity.
Rabbinics,Law and Roman context,Beth A. Berkowitz,Execution and Invention,monograph,2006,Oxford University Press,rabbinic law;Roman;execution,standard,Core comparative law/gender/body study.
Rabbinics,Tannaitic hermeneutics,Azzan Yadin-Israel,Scripture as Logos,monograph,2004,University of Pennsylvania Press,midrash;hermeneutics;Ishmael;Akiva,standard,Important for tannaitic hermeneutics.
Rabbinics,Piyyut,Laura Lieber,Yannai on Genesis,monograph,2010,Hebrew Union College Press,piyyut;Genesis;liturgy,standard,Reception/liturgy bridge for Genesis.
New Testament,Historical Jesus,Ernst Käsemann,The Problem of the Historical Jesus,article/essay,1954,Essays on New Testament Themes,historical Jesus;New Quest,standard,Classic New Quest catalyst; verify publication metadata.
New Testament,Historical Jesus,E. P. Sanders,Jesus and Judaism,monograph,1985,Fortress Press,historical Jesus;Judaism;restoration,standard,Classic Third Quest work.
New Testament,Historical Jesus,John P. Meier,A Marginal Jew,monograph series,1991-2016,Doubleday/Yale,historical Jesus;criteria;sources,standard,Major criteria-based historical Jesus project.
New Testament,Historical Jesus,Dale C. Allison,Constructing Jesus,monograph,2010,Baker Academic,historical Jesus;memory;eschatology,standard,Major critique of criteria and emphasis on recurrent patterns.
New Testament,Historical Jesus,Paula Fredriksen,"Jesus of Nazareth, King of the Jews",monograph,1999,Knopf,historical Jesus;Judaism;eschatology,standard,Important Jewish-context approach.
New Testament,Historical Jesus,Amy-Jill Levine,The Misunderstood Jew,monograph,2006,HarperOne,Jesus;Jewish context;anti-Judaism,standard,Public-facing but scholarly Jewish-context intervention.
New Testament,Memory and orality,Werner H. Kelber,The Oral and the Written Gospel,monograph,1983,Fortress Press,orality;Gospels;Mark,standard,Classic orality/writing intervention.
New Testament,Memory and orality,James D. G. Dunn,Altering the Default Setting: Re-envisaging the Early Transmission of the Jesus Tradition,article,2003,New Testament Studies,orality;Jesus tradition;memory,standard,Important article-level locus for oral tradition.
New Testament,Memory and eyewitness,Richard Bauckham,Jesus and the Eyewitnesses,monograph,2006/2017,Eerdmans,eyewitness;Gospels;memory,standard,Major eyewitness thesis; add article responses.
New Testament,Social memory,Chris Keith and Anthony Le Donne,"Jesus, Criteria, and the Demise of Authenticity",edited volume,2012,T&T Clark,criteria;memory;historical Jesus,standard,State-of-debate collection.
New Testament,Synoptic Problem,Mark Goodacre,Fatigue in the Synoptics,article,1998,New Testament Studies,Synoptic Problem;Farrer;fatigue,standard,Landmark article for Farrer/Mark without Q.
New Testament,Synoptic Problem,E. P. Sanders,The Argument from Order and the Relationship between Matthew and Luke,article,1969,New Testament Studies,Synoptic Problem;order;Q,standard,Important article-level debate locus; verify pages.
New Testament,Q,John S. Kloppenborg,The Formation of Q,monograph,1987,Fortress Press,Q;Synoptic Problem;genre,standard,Major Q stratification work.
New Testament,Q,Christopher M. Tuckett,Q and the History of Early Christianity,monograph,1996,T&T Clark,Q;Synoptic Problem;early Christianity,standard,Major Q study.
New Testament,Gospel genre,Richard A. Burridge,What Are the Gospels?,monograph,1992/2004,Cambridge University Press,Gospel genre;bios,standard,Core genre study.
New Testament,Gospel audiences,"Richard Bauckham, ed.",The Gospels for All Christians,edited volume,1998,Eerdmans,Gospel audiences;communities,standard,Important challenge to Gospel community models.
New Testament,Book culture,Harry Y. Gamble,Books and Readers in the Early Church,monograph,1995,Yale University Press,book culture;canon;early Christianity,standard,Core book-culture study.
New Testament,Book culture,Larry W. Hurtado,The Earliest Christian Artifacts,monograph,2006,Eerdmans,manuscripts;nomina sacra;book culture,standard,Important manuscript/material culture study.
New Testament,Mark,William Wrede,The Messianic Secret,monograph,1901,German original / English translation,Mark;messianic secret;redaction,standard,Classic and contested Markan study.
New Testament,Mark,Ched Myers,Binding the Strong Man,monograph,1988,Orbis,Mark;empire;political reading,standard,Important political reading of Mark.
New Testament,Matthew,Anthony J. Saldarini,Matthew's Christian-Jewish Community,monograph,1994,University of Chicago Press,Matthew;Judaism;community,standard,Major Matthew/Judaism work.
New Testament,Matthew,Warren Carter,Matthew and Empire,monograph,2001,Trinity Press International,Matthew;empire,standard,Core imperial reading of Matthew.
New Testament,John,J. Louis Martyn,History and Theology in the Fourth Gospel,monograph,1968/1979,Abingdon,John;community;history,standard,Classic Johannine community model.
New Testament,John,Wayne A. Meeks,The Man from Heaven in Johannine Sectarianism,article,1972,Journal of Biblical Literature,John;sectarianism;Christology,standard,Landmark article.
New Testament,John and anti-Judaism,Adele Reinhartz,The Word in the World,monograph,1992,Scholars Press,John;narrative;anti-Judaism,standard,Important Johannine narrative and Jewish relations scholarship.
New Testament,Luke-Acts,Loveday Alexander,The Preface to Luke's Gospel,monograph,1993,Cambridge University Press,Luke;historiography;preface,standard,Core for Luke and ancient literary culture.
New Testament,Luke-Acts,Richard I. Pervo,Profit with Delight,monograph,1987,Fortress Press,Acts;ancient novel;historiography,standard,Important Acts genre/historiography intervention.
New Testament,Paul,Krister Stendahl,The Apostle Paul and the Introspective Conscience of the West,article,1963,Harvard Theological Review,Paul;introspection;history of interpretation,standard,Landmark article behind New Perspective trajectories.
New Testament,Paul,E. P. Sanders,Paul and Palestinian Judaism,monograph,1977,Fortress Press,Paul;Judaism;covenantal nomism,standard,Foundational New Perspective background.
New Testament,Paul,James D. G. Dunn,The New Perspective on Paul,article,1983,Bulletin of the John Rylands Library,Paul;New Perspective;law,standard,Named the New Perspective on Paul.
New Testament,Paul,Richard B. Hays,Psalm 143 and the Logic of Romans 3,article,1980,Journal of Biblical Literature,Romans;Scripture;pistis Christou,standard,Landmark article-level work on Romans and Scripture.
New Testament,Paul,John M. G. Barclay,Mirror-Reading a Polemical Letter: Galatians as a Test Case,article,1987,Journal for the Study of the New Testament,Galatians;mirror-reading;method,standard,Classic methodological article.
New Testament,Paul,J. Louis Martyn,Apocalyptic Antinomies in Paul's Letter to the Galatians,article,1985,New Testament Studies,Galatians;apocalyptic Paul,standard,Landmark apocalyptic Paul article; verify metadata.
New Testament,Paul,John M. G. Barclay,Paul and the Gift,monograph,2015,Eerdmans,Paul;grace;gift,standard,Major recent reframing of grace/gift.
New Testament,Paul within Judaism,"Mark D. Nanos and Magnus Zetterholm, eds.",Paul within Judaism,edited volume,2015,Fortress Press,Paul within Judaism;Jewish Paul,standard,State-of-debate collection.
New Testament,Paul within Judaism,Paula Fredriksen,Paul: The Pagans' Apostle,monograph,2017,Yale University Press,Paul;Gentiles;Judaism,standard,Major Paul-within-Judaism synthesis.
New Testament,Slavery,Jennifer A. Glancy,Slavery in Early Christianity,monograph,2002,Oxford University Press,slavery;body;Paul;early Christianity,standard,Core for slavery and embodiment.
New Testament,Revelation,Elisabeth Schüssler Fiorenza,The Book of Revelation: Justice and Judgment,monograph,1985/1998,Fortress Press,Revelation;feminist;rhetoric,standard,Major feminist/political Revelation interpretation.
New Testament,Revelation,Adela Yarbro Collins,Crisis and Catharsis,monograph,1984,Westminster,Revelation;apocalyptic;crisis,standard,Classic social-rhetorical reading.
New Testament,Revelation and empire,Steven J. Friesen,Imperial Cults and the Apocalypse of John,monograph,2001,Oxford University Press,Revelation;empire;imperial cult,standard,Core material/imperial cult study.
NT Textual Criticism,Original text,Eldon Jay Epp,The Multivalence of the Term Original Text in New Testament Textual Criticism,article,1999,Harvard Theological Review,NT textual criticism;original text,standard,Landmark article problematizing original text.
NT Textual Criticism,Text criticism history,Eldon Jay Epp,The Twentieth Century Interlude in New Testament Textual Criticism,article,1974,Journal of Biblical Literature,NT textual criticism;method history,standard,Important historiographic article.
NT Textual Criticism,Social textual criticism,Bart D. Ehrman,The Orthodox Corruption of Scripture,monograph,1993,Oxford University Press,NT textual criticism;theology;variants,standard,Major social/theological textual criticism work.
NT Textual Criticism,Manuscript culture,David C. Parker,The Living Text of the Gospels,monograph,1997,Cambridge University Press,Gospels;textual criticism;manuscripts,standard,Major living-text approach.
NT Textual Criticism,Scribal habits,James R. Royse,Scribal Habits in Early Greek New Testament Papyri,monograph,2008,Brill,scribal habits;papyri;NT,standard,Core for scribal habits.
Early Christianity,Apostolic Fathers,Michael W. Holmes,The Apostolic Fathers,edition/translation,various,Baker Academic,Apostolic Fathers;edition,standard,Access edition; pair with critical editions.
Early Christianity,Canon and book culture,Harry Y. Gamble,The New Testament Canon,monograph,1985,Fortress Press,canon;early Christianity,standard,Classic canon history.
Early Christianity,Gnosticism category,Michael A. Williams,Rethinking Gnosticism,monograph,1996,Princeton University Press,gnosticism;category;Nag Hammadi,standard,Major critique of category.
Early Christianity,Gnosticism category,Karen L. King,What Is Gnosticism?,monograph,2003,Harvard University Press,gnosticism;category;historiography,standard,Major category critique.
Early Christianity,Marcion,Judith Lieu,Marcion and the Making of a Heretic,monograph,2015,Cambridge University Press,Marcion;heresy;canon,standard,Major recent Marcion study.
Early Christianity,Marcion text,Dieter T. Roth,The Text of Marcion's Gospel,monograph,2015,Brill,Marcion;Gospel;Luke;textual criticism,standard,Key reconstruction work.
Early Christianity,Martyrdom,Elizabeth A. Castelli,Martyrdom and Memory,monograph,2004,Columbia University Press,martyrdom;memory;gender,standard,Core martyrdom/memory study.
Early Christianity,Martyrdom,Candida R. Moss,The Myth of Persecution,monograph,2013,HarperOne,martyrdom;persecution;public scholarship,standard,Public-facing but scholarly critique; add specialist responses.
Early Christianity,Patristic exegesis,Frances M. Young,Biblical Exegesis and the Formation of Christian Culture,monograph,1997,Cambridge University Press,patristic exegesis;culture,standard,Core patristic exegesis work.
Early Christianity,Patristic exegesis,Peter W. Martens,Origen and Scripture,monograph,2012,Oxford University Press,Origen;exegesis;patristics,standard,Important Origen/scripture study.
Early Christianity,Syriac Christianity,Sebastian P. Brock,The Luminous Eye,monograph,1992,Cistercian Publications,Syriac;Ephrem;exegesis,standard,Introductory Syriac exegesis classic.
Early Christianity,Material culture,Robin M. Jensen,Understanding Early Christian Art,monograph,2000,Routledge,early Christian art;iconography,standard,Core early Christian art resource.
Islam and Bible,Qur'an and Bible,Gabriel Said Reynolds,The Qur'an and the Bible,monograph/reference,2018,Yale University Press,Qur'an;Bible;commentary,standard,Major reference for Qur'anic biblical traditions.
Islam and Bible,Qur'an late antiquity,Angelika Neuwirth,The Qur'an and Late Antiquity,monograph,2019,Oxford University Press,Qur'an;late antiquity;scripture,standard,Major late-antique framing.
Islam and Bible,Bible in Arabic,Sidney H. Griffith,The Bible in Arabic,monograph,2013,Princeton University Press,Arabic Bible;Christian Arabic;Islam,standard,Core Arabic Bible study.
Islam and Bible,Qur'an and Syriac,Holger Zellentin,The Qur'an's Legal Culture,monograph,2013,Mohr Siebeck,Qur'an;law;late antiquity;Syriac,standard,Important late antique legal context study.
Islam and Bible,Christian Arabic,Hikmat Kashouh,The Arabic Versions of the Gospels,monograph,2012,De Gruyter,Arabic Gospels;versions;textual criticism,standard,Core Christian Arabic Gospel versions study.
Islam and Bible,Jewish Arabic,Meira Polliack,The Karaite Tradition of Arabic Bible Translation,monograph,1997,Brill,Karaite;Arabic Bible;Jewish exegesis,standard,Core Jewish Arabic Bible translation work.
Reception,Reception history,Hans-Georg Gadamer,Truth and Method,monograph,1960,Mohr Siebeck / English translation,hermeneutics;reception,standard,Background hermeneutics; not biblical-specific.
Reception,Bible reception,John F. A. Sawyer,The Blackwell Companion to the Bible and Culture,edited volume,2006,Blackwell,reception;culture,standard,Broad reception reference.
Reception,Bible and literature,Northrop Frye,The Great Code,monograph,1982,Harcourt,Bible and literature;reception,standard,Classic literary reception; mark as literary-theory context.
Reception,Visual culture,David Morgan,The Sacred Gaze,monograph,2005,University of California Press,visual culture;material religion,standard,Key material/visual religion method.
Reception,Lived religion,Robert A. Orsi,Between Heaven and Earth,monograph,2005,Princeton University Press,lived religion;method,standard,Methodological resource for lived religion.
Reception,Ethnography,James S. Bielo,Words upon the Word,monograph,2009,NYU Press,Bible study;ethnography;evangelicalism,standard,Directly relevant ethnography of Bible use.
Reception,Material scripture,James W. Watts,How and Why Books Matter,edited volume,2019,Equinox,scripture;material religion,standard,Material scripture studies.
Reception,Black Atlantic scripture,Vincent L. Wimbush,Theorizing Scriptures,edited volume,2008,Rutgers University Press,scripturalization;Black;theory,standard,Important scripture theory and Africana work.
Critical Interpretation,Feminist,Elisabeth Schüssler Fiorenza,In Memory of Her,monograph,1983,Crossroad,feminist;NT;Christian origins,standard,Foundational feminist reconstruction.
Critical Interpretation,Womanist,Renita J. Weems,Just a Sister Away,monograph,1988,LuraMedia,womanist;Hebrew Bible;women,standard,Classic womanist biblical interpretation.
Critical Interpretation,Womanist,Wilda C. Gafney,Womanist Midrash,monograph,2017,Westminster John Knox,womanist;midrash;translation,standard,Major womanist interpretive work.
Critical Interpretation,Postcolonial,R. S. Sugirtharajah,Postcolonial Criticism and Biblical Interpretation,monograph,2002,Oxford University Press,postcolonial;method,standard,Core postcolonial biblical criticism resource.
Critical Interpretation,Postcolonial feminist,Musa W. Dube,Postcolonial Feminist Interpretation of the Bible,monograph,2000,Chalice Press,postcolonial;feminist;Bible,standard,Core postcolonial feminist work.
Critical Interpretation,Asian American/postcolonial,Tat-siong Benny Liew,Politics of Parousia,monograph,1999,Brill,Mark;postcolonial;Asian American,standard,Important postcolonial Mark study.
Critical Interpretation,African biblical interpretation,Gerald O. West,Biblical Hermeneutics of Liberation,monograph,1991,Cluster Publications,African;liberation;Bible,standard,Core African liberation hermeneutics.
Critical Interpretation,African women,Madipoane Masenya,How Worthy Is the Woman of Worth?,monograph,2004,Peter Lang,African;feminist;Proverbs,standard,Important African feminist/womanist Proverbs reading.
Critical Interpretation,Queer,Ken Stone,Practicing Safer Texts,monograph,2005,T&T Clark,queer;sexuality;Bible,standard,Core queer biblical interpretation.
Critical Interpretation,Queer,"Deryn Guest, Robert Goss, Mona West, Thomas Bohache, eds.",The Queer Bible Commentary,commentary,2006,SCM Press,queer;commentary;Bible,standard,Major queer commentary resource.
Critical Interpretation,Disability,"Sarah J. Melcher, Mikeal C. Parsons, and Amos Yong, eds.",The Bible and Disability,edited volume,2017,Baylor University Press,disability;Bible,standard,State-of-field disability collection.
Critical Interpretation,Trauma,David M. Carr,Holy Resilience,monograph,2014,Yale University Press,trauma;formation;Hebrew Bible,standard,Trauma and scriptural formation.
Critical Interpretation,Empire,Richard A. Horsley,Jesus and Empire,monograph,2003,Fortress Press,Jesus;empire;politics,standard,Core empire reading of Jesus movement.
Critical Interpretation,Slavery reception,Sylvester A. Johnson,The Myth of Ham in Nineteenth-Century American Christianity,monograph,2004,Palgrave Macmillan,race;slavery;reception;Genesis,standard,Core reception of race/slavery.
Public Bible,Bible in America,Mark A. Noll,America's God,monograph,2002,Oxford University Press,Bible;America;theology;politics,standard,Important for Bible/public theology in America.
Public Bible,Bible and public culture,Timothy Beal,The Rise and Fall of the Bible,monograph,2011,Houghton Mifflin Harcourt,Bible;public culture;America,standard,Public Bible reception resource.
